Id,Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization,
141,DHPL,320,328,316.2,318.9,43005,13801087,314.1,427.2,265,318.9,227,320.91,841.9,
142,AKPL,272,279,267,269,753935,206239031.2,271,306.5,216.1,269,1372,273.55,10480.08,
143,FOWAD,1080,1089.9,1063,1075,4748,5085707.3,1080,1324.4,1012.4,1075,82,1071.12,12856.5,
144,SMATA,811,811,785,800,8420,6665587,796,1382,734.1,800,97,791.63,5284.03,
145,HPPL,480,483.9,472,473,134090,64051735.6,475,711,411.1,473,414,477.67,5039.42,
146,MSLB,1335,1335,1300,1320,3304,4333736.4,1337.8,1710,1130.2,1320,82,1311.66,5114.94,
147,NHDL,664,683.6,657.6,669,24215,16093442.6,671,1002.6,623,669,129,664.6,2830.77,
148,SEF,9.5,9.68,9.5,9.68,4070,38847.2,9.54,11.5,8.6,9.68,5,9.54,1452,
149,PMHPL,356,361,343,346.9,89574,31617314.8,350,468,272,346.9,296,352.97,3815.9,
150,SHIVM,624.7,628,615.3,622,307474,191390207.8,615.1,709,495,622,733,622.45,34789.88,
151,PPCL,388,398.8,385,388.7,101958,39686537.9,386,409.9,284.1,388.7,299,389.24,3741.24,
152,GLBSL,1958,1993,1940,1986,2541,5029972.7,1952,3486,1862.1,1986,46,1979.52,2628.63,
153,SMFBS,1645.5,1654,1645,1645,437,720566.4,1679,2215,1490,1645,28,1648.89,2524.18,
154,UNHPL,530,530,502,506,285678,145521356.7,531,554.7,290,506,1144,509.38,3795,
155,ILBS,965,990,965,966.1,6573,6407042.7,980,1311,795.2,966.1,75,974.75,4805.54,
156,NBF2,9.67,9.91,9.67,9.83,18100,177632.7,9.84,11.1,8.89,9.83,10,9.81,1100.96,
157,SIGS2,9.76,9.76,9.65,9.65,10250,99542.5,9.81,11.7,8.9,9.65,5,9.71,1158,
158,CMF2,10,10.2,10,10.05,11370,115275.5,10.16,10.86,8.64,10.05,7,10.13,562.8,
159,NMB50,10.31,10.51,10.31,10.5,600,6227,10.46,11.93,9.75,10.5,5,10.37,1312.5,
160,HDHPC,212,217,206.5,207.9,625420,132357947.4,208.5,225.9,162,207.9,1475,211.63,5821.2,
161,ICFCD83,1122,1122,1122,1122,60,67320,1119.9,1368.9,1119,1122,1,1122,224.4,
162,ADBLD83,1050.5,1050.5,1050.5,1050.5,50,52525,1071,1160,1046,1050.5,1,1050.5,2626.25,
163,SMPDA,885,890,878,880,3554,3135647.9,877,1155,840,880,79,882.28,6167.55,
164,NRN,1668,1694.9,1637,1694,209635,349587257.8,1647,2444,1327,1694,1127,1667.59,30460.17,
165,LUK,9.85,9.95,9.85,9.95,6300,62675,10.05,11.97,8.97,9.95,4,9.94,649.36,
166,SSHL,204,204,194.5,195,648044,128692054.7,200,313.8,151,195,1722,198.58,5757.96,
167,MEN,605,605,583,585.1,68756,40549728.1,595,683.4,535,585.1,301,589.76,18274.19,
168,SBIBD86,1125,1125,1125,1125,11,12375,1144,1222,1050,1125,1,1125,2288.12,
169,LEC,222.3,226,220.1,220.6,430592,96295687.3,218,263,180,220.6,1116,223.63,4963.5,
170,PBLD84,1083,1083,1083,1083,12,12996,1102.5,1150,1062.1,1083,1,1083,2166,
171,SGIC,492.4,492.9,479,488,21431,10413902.3,485.2,736.4,439,488,192,485.92,10492,
172,CGH,872.5,887,855,859.9,133312,114835705.1,875,1150,800.2,859.9,613,861.4,13851.23,
173,NIFRA,264,269.4,262,263,138605,36686464.9,266.5,328.1,249.9,263,756,264.68,56808,
174,SLCF,9.65,9.69,9.64,9.69,21800,210599,9.82,11.99,8.6,9.69,17,9.66,1162.8,
175,GLH,270,282,270,270.1,150932,41874253.3,271,306.3,227.4,270.1,665,277.43,4861.8,
176,MLBSL,1940,1940,1900,1929,577,1103255,1930,2569,1870,1929,21,1912.05,4196.78,
177,SHEL,300,306,295.3,296,293122,88122819.6,296.6,347.8,241.1,296,902,300.63,9013.2,
178,SBCF,9.31,9.6,9.31,9.45,3400,32407,9.42,12.03,8.7,9.45,7,9.53,1181.25,
179,NIBSF2,9.61,9.8,9.25,9.25,25400,239906,9.8,9.8,8.01,9.25,32,9.44,1387.5,
180,JBLB,1330,1345,1310.1,1317.8,5129,6766476.8,1307.4,1644,1270.7,1317.8,116,1319.25,23077.78,
181,NBLD87,1094,1117,1094,1115.8,506,565124,1094,1150,1010.1,1115.8,7,1116.84,3905.3,
182,PBLD87,1083.2,1083.2,1083.2,1083.2,25,27080,1072.1,1147,1015.1,1083.2,1,1083.2,2870.48,
183,NICSF,9.05,9.12,8.95,8.96,1300,11724,9.23,9.99,8.04,8.96,6,9.01,1120,
184,SRLI,390,400,389.8,391,35645,13949476.1,394,480,363.9,391,370,391.34,19608.35,
185,MBLD87,1101,1101,1101,1101,10,11010,1123,1169,1021,1101,1,1101,2481.1,
186,MKJC,541,565,537,537,55963,30480006.5,552,635,475.5,537,247,544.64,2020.84,
187,MLBS,1460,1507.5,1445,1507.5,1912,2810428,1478,2400,1395,1507.5,38,1469.88,1648.83,
188,TPC,400,401,383,387,211777,82555766.3,394,650,270.1,387,612,389.82,3096,
189,MMF1,9,9.14,8.95,8.95,12830,115719.85,9,9.95,8.05,8.95,45,9.01,1118.75,
190,SPC,533,533,516,518,23177,12106557.1,527.3,698.9,441,518,184,522.35,2590,
191,NESDO,1559,1559,1475,1526.9,2236,3365630.7,1529.9,2489,1380.1,1526.9,44,1505.2,4448.43,
192,GVL,500,503,490,494.9,117726,58463947.6,492,662,424,494.9,452,496.61,17012.19,
193,BHL,206,209.8,204.2,204.6,419827,86917056.3,204,388,164,204.6,1259,207.03,7480.05,
194,CYCL,1555.1,1600,1540,1584,5648,8889964.6,1586,2040,1462,1584,117,1574,4220.16,
195,RFPL,422,432.9,415,415,180215,76192298.9,421,950,306,415,741,422.78,5810,
196,UMRH,576,579.9,564,564,19168,10962716,575,790,526,564,110,571.92,2729,
197,PMLI,510,518.5,507,507.2,8334,4255984.9,510,665,445,507.2,197,510.67,26921.13,
198,KEF,9.22,9.55,9.22,9.35,8920,83991,9.37,10.42,8.31,9.35,23,9.41,935,
199,RURU,679.1,679.1,670,670,15547,10462118.3,671.1,853,640,670,104,672.93,4181.17,
200,NCCD86,1116,1116,1115.5,1115.5,50,55787.5,1115,1230,1040.2,1115.5,2,1115.75,3346.5,
201,CHDC,2400.1,2470,2395,2396,34676,84036021.4,2425,2997.9,1921,2396,266,2423.46,24780.32,
202,PSF,11.04,11.42,11.04,11.4,22850,256876,11.24,11.9,9.81,11.4,31,11.24,1425,
203,KSBBLD87,1120,1120,1120,1120,50,56000,1140,1178.1,1041.3,1120,1,1120,1120,
204,RMF1,9.63,9.63,9.27,9.54,18200,171579,9.45,11.4,8.38,9.54,32,9.42,1192.5,
205,NICD88,1081,1120,1081,1120,430,481213.6,1081,1153,1006,1120,7,1119.1,1762.74,
206,GBILD86/87,1087,1087,1087,1087,50,54350,1082.3,1142,1015,1087,1,1087,3261,
207,JBBD87,1142.4,1143,1142.4,1143,782,893522.4,1120,1289,1036,1143,9,1142.61,1714.5,
208,SAHAS,557.1,568,557.1,564.9,64425,36338436.8,563,705,483.3,564.9,422,564.04,25837.4,
209,NBF3,9.44,9.6,9.44,9.47,41320,391921.6,9.62,10.67,8.35,9.47,31,9.48,1183.75,
210,NYADI,405,420,404,409,24623,10134074.1,405,880,354,409,226,411.56,6135,
211,MBJC,290,294.9,285.9,288,38694,11242343,290.8,371.9,270,288,390,290.54,17280,
212,BNHC,569.1,613.8,548,548,122677,68786311.6,558,613.8,393,548,782,560.71,2192,
213,GBBD85,2085,1075.1,1076.1,1075.1,1076.1,130,139835.5,1073.1,1135,2026-02-08T14:53:04.658848,1076.1,5,1075.65,1076.1
214,ENL,908,989.3,908,940,4694,4480987.8,919.6,1452,866,940,106,954.62,5222.64,
215,ULBSL,3290,3299,3235,3278.9,310,1015727,3259,6300,2931,3278.9,17,3276.53,3480.49,
216,KDBY,10.04,10.3,9.84,10.12,9820,99408.3,10.24,10.57,8.67,10.12,40,10.12,40.48,
217,HHL,348.4,375,348.4,360,323353,117033389.6,341.6,635,310.7,360,1489,361.93,3942,
