Id,Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization,
278,BGWT,763.2,782,763.2,776,2520,1955000,775,1241,750,776,56,775.79,5263.14,
279,TVCL,585,595,564,589.1,135579,78411000.7,575,611,377.6,589.1,561,578.34,10913.08,
280,ULHC,528,551.9,528,549,65395,35618290.7,538,693,411.7,549,481,544.66,2798.82,
281,CLI,473,478,466.2,471.8,21293,10024312.4,473,774.9,411,471.8,444,470.77,23590,
282,MANDU,821,846,821,827.9,6576,5470264.5,835,1011,766.5,827.9,73,831.85,11289.55,
283,MSHL,810.7,826,810.7,820,654,535971,823,1135,800.1,820,20,819.52,7057.41,
284,SONA,435,445,433,433,36232,15790781.3,437,545,398,433,448,435.82,13314.97,
285,MMKJL,610,610,591,591,15551,9333154.8,608,838.3,528.2,591,151,600.16,5910,
286,H8020,11.2,11.64,11.2,11.38,3900,44306,11.42,12.21,9.86,11.38,22,11.36,113.8,
287,MKCL,1387,1400,1380.1,1385,7180,9984886.8,1398,1900,1333,1385,112,1390.65,10470.6,
288,CKHL,759.3,804,751,751,30521,23340274.2,774,887.9,550,751,227,764.72,3004,
289,NWCL,945,945,920,920,7133,6603074.5,939,1147,740.2,920,99,925.7,6325,
290,NICGF2,9.3,9.48,9.16,9.35,9450,87775,9.3,9.98,8.33,9.35,31,9.28,846.17,
291,KSY,9.46,9.5,9.31,9.42,1400,13193,9.65,10.64,8.21,9.42,12,9.42,701.56,
292,MNMF1,9.59,9.74,9.33,9.74,58749,566537.51,9.41,10.11,8.53,9.74,45,9.64,1217.5,
293,ICFCD88,1120.1,1120.1,1120.1,1120.1,25,28002.5,1120,1216,1000,1120.1,1,1120.1,336.03,
294,NMIC,1450,1525,1432,1445,151242,226334163.9,1456,2703.3,302.3,1445,1220,1496.5,10837.5,
295,NMBHF2,9.5,9.5,9.35,9.5,3200,30292,9.69,10,8.16,9.5,26,9.46,1296.6,
296,RBBD2088,1046.3,1055,1046.3,1055,50,52532.5,1050,1100,967.6,1055,2,1050.65,2637.5,
297,BHCL,600,621,600,600,58682,35693565,609,699,292.1,600,1008,608.25,5454.61,
298,SBLD2091,1093,1093,1093,1093,1161,1268973,1094,1150,109,1093,9,1093,2732.5,
299,MABEL,800,825.9,796,806,24015,19393733.4,811,927,317.7,806,500,807.56,3109.74,
300,HLICF,9.63,9.85,9.63,9.69,6090,59403.5,9.82,10.55,8.74,9.69,22,9.75,4845,
301,DHEL,745,770,740.8,750,56122,42208711.3,758,918.9,402.2,750,988,752.08,7728.75,
302,SWASTIK,2980,3020,2943,2943,2713,8050699.3,2987,3400,391.7,2943,115,2967.45,1699.58,
303,BUNGAL,715,718,691.8,691.8,32238,22714861.8,708.8,822,302.4,691.8,658,704.59,5741.94,
304,RBBF40,9.94,10.11,8.98,9.31,3370,31602.5,9.75,10.11,8.98,9.31,25,9.37,1163.75,
305,SYPNL,2115,2155,2019.1,2019.1,202578,424156406.5,2115,2255.9,319.8,2019.1,4977,2093.79,26412.6,
306,VLUCL,590,596.2,578,580,10873,6362701.1,593.7,802,516,580,148,585.18,11092.5,
307,HRL,887.3,887.3,857,857,241328,210929031,870,1156,762.1,857,1720,874.03,93138.76,
308,SARBTM,879,890,872,872,18393,16218501.5,879,1048,760.2,872,109,881.77,45555.68,
309,NIMBD90,1201,1201,1201,1201,100,120100,1211,1425,1107,1201,1,1201,4852.04,
310,NIBLSTF,9.33,9.33,9.11,9.11,6300,57850,9.15,10.08,7.85,9.11,18,9.18,1029.43,
311,GMLI,1800,1888.9,1800,1800,10769,19974703.4,1833,2778,301,1800,249,1854.83,13500,
312,GSY,9.53,9.79,9.34,9.6,76299,740284.59,9.72,10.3,8.7,9.6,60,9.7,1200,
313,CREST,1490,1530,1461,1489,53035,79935199.7,1499.8,2458.2,302.5,1489,812,1507.21,11167.5,
314,EBLD91,1108,1108,1091,1091,748,827934,1098.5,1142.4,994.4,1091,3,1106.86,3273,
315,OMPL,1410.1,1454,1390,1390,20073,28404114.6,1408,2167.2,270,1390,382,1415.04,8340,
